Age Range ID,Age Range,Classification of Formal and Informal Jobs of the First Activity ID,Classification of Formal and Informal Jobs of the First Activity,Job Situation ID,Job Situation,Economically Active Population ID,Economically Active Population,Sex ID,Sex,Number of Records
4,45 to 54 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,753
4,45 to 54 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,599
4,45 to 54 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,1376
4,45 to 54 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,1346
5,55 to 64 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,93
5,55 to 64 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,20
5,55 to 64 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,2089
5,55 to 64 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,1140
5,55 to 64 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,930
5,55 to 64 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,276
5,55 to 64 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,12524
5,55 to 64 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,43048
5,55 to 64 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,532
5,55 to 64 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,410
5,55 to 64 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,725
5,55 to 64 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,484
6,65 to 74 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,19
6,65 to 74 years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,2
6,65 to 74 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,1193
6,65 to 74 years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,512
6,65 to 74 years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,228
6,65 to 74 years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,59
6,65 to 74 years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,16627
6,65 to 74 years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,32404
6,65 to 74 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,297
6,65 to 74 years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,156
6,65 to 74 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,175
6,65 to 74 years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,83
7,75 or more years,0,No Aplica,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,6
7,75 or more years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,1,Hombre,449
7,75 or more years,0,No Aplica,1,Posee un Trabajo o Negocio,2,Población no Económicamente Activa,2,Mujer,150
7,75 or more years,0,No Aplica,2,No,1,Población Económicamente Activa,1,Hombre,32
7,75 or more years,0,No Aplica,2,No,1,Población Económicamente Activa,2,Mujer,12
7,75 or more years,0,No Aplica,2,No,2,Población no Económicamente Activa,1,Hombre,16221
7,75 or more years,0,No Aplica,2,No,2,Población no Económicamente Activa,2,Mujer,25381
7,75 or more years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,98
7,75 or more years,1,Empleo Informal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,53
7,75 or more years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,1,Hombre,36
7,75 or more years,2,Empleo Formal,1,Posee un Trabajo o Negocio,1,Población Económicamente Activa,2,Mujer,10
